"kön","utbildningsområde MYH","region (hemlän)","utbildningens studietakt","Antal ansökningar 2020","Antal ansökningar 2021","Antal ansökningar 2022","Antal ansökningar 2023","Antal ansökningar 2024","Antal sökande 2020","Antal sökande 2021","Antal sökande 2022","Antal sökande 2023","Antal sökande 2024","Antal behöriga sökande 2020","Antal behöriga sökande 2021","Antal behöriga sökande 2022","Antal behöriga sökande 2023","Antal behöriga sökande 2024","Antal antagna vid start 2020","Antal antagna vid start 2021","Antal antagna vid start 2022","Antal antagna vid start 2023","Antal antagna vid start 2024"
"totalt","Totalt"," Jönköpings län","Totalt",224,324,538,923,1198,186,240,371,593,731,134,174,262,447,549,102,121,182,332,384
"totalt","Totalt"," Jönköpings län","Heltid",67,30,34,204,147,59,28,33,176,125,39,18,25,128,73,26,12,18,86,44
"totalt","Totalt"," Jönköpings län","Deltid",157,294,504,719,1051,135,218,346,461,647,101,161,243,348,497,79,112,167,252,348
"totalt","Totalt"," Kronobergs län","Totalt",135,163,306,444,571,96,124,197,298,380,68,95,129,223,274,45,65,95,152,198
"totalt","Totalt"," Kronobergs län","Heltid",52,15,15,94,80,39,12,14,70,71,28,8,7,51,38,19,5,4,36,28
"totalt","Totalt"," Kronobergs län","Deltid",83,148,291,350,491,65,115,187,248,327,43,87,123,186,247,27,60,92,120,175
"totalt","Totalt"," Kalmar län","Totalt",188,235,286,609,662,173,198,201,362,402,142,160,135,267,287,121,118,76,180,196
"totalt","Totalt"," Kalmar län","Heltid",35,10,16,120,114,32,7,15,89,93,20,5,9,62,61,15,5,6,40,38
"totalt","Totalt"," Kalmar län","Deltid",153,225,270,489,548,145,191,188,308,339,123,155,127,224,245,106,113,70,142,162
"totalt","Totalt"," Gotlands län","Totalt",43,74,120,160,160,35,56,80,106,111,30,45,57,74,84,21,30,36,53,61
"totalt","Totalt"," Gotlands län","Heltid",11,17,15,33,25,8,12,13,23,22,6,9,11,17,13,5,8,3,14,10
"totalt","Totalt"," Gotlands län","Deltid",32,57,105,127,135,29,47,69,92,93,25,37,47,61,74,16,22,34,41,54
"totalt","Totalt"," Blekinge län","Totalt",114,162,250,426,620,92,116,174,283,349,60,85,114,209,267,44,57,72,138,184
"totalt","Totalt"," Blekinge län","Heltid",31,25,17,116,94,28,23,16,96,75,18,18,10,68,54,14,15,6,37,35
"totalt","Totalt"," Blekinge län","Deltid",83,137,233,310,526,68,99,161,219,304,44,70,105,162,233,30,44,66,105,153
"totalt","Totalt"," Skåne län","Totalt",1572,1929,3091,5146,6369,1184,1383,2046,3294,3903,853,1021,1337,2427,2819,579,670,966,1728,2046
"totalt","Totalt"," Skåne län","Heltid",562,249,230,1103,995,450,212,202,891,844,314,152,128,644,594,207,119,102,440,428
"totalt","Totalt"," Skåne län","Deltid",1010,1680,2861,4043,5374,820,1229,1885,2669,3309,592,908,1231,1942,2385,385,564,872,1348,1693
"totalt","Totalt"," Hallands län","Totalt",329,428,696,1191,1373,264,312,478,694,837,196,235,329,536,649,115,147,221,368,487
"totalt","Totalt"," Hallands län","Heltid",124,39,48,211,214,104,34,45,153,174,77,24,34,116,116,47,17,27,72,84
"totalt","Totalt"," Hallands län","Deltid",205,389,648,980,1159,173,286,439,592,712,128,216,301,456,566,71,131,197,310,419
"totalt","Totalt"," Västra Götalands län","Totalt",2889,3199,4764,7392,9044,2182,2310,3220,4606,5456,1679,1699,2177,3383,3945,1175,1182,1546,2482,2942
"totalt","Totalt"," Västra Götalands län","Heltid",1041,452,401,1442,1440,874,377,370,1122,1172,643,275,280,822,745,431,215,219,571,555
"totalt","Totalt"," Västra Götalands län","Deltid",1848,2747,4363,5950,7604,1466,2025,2926,3847,4634,1127,1485,1945,2780,3405,770,994,1348,1993,2482
"totalt","Totalt"," Värmlands län","Totalt",144,364,474,667,856,116,280,325,449,512,72,204,201,316,381,52,113,135,204,275
"totalt","Totalt"," Värmlands län","Heltid",46,20,22,137,162,41,16,19,107,130,25,12,11,76,91,20,11,8,49,67
"totalt","Totalt"," Värmlands län","Deltid",98,344,452,530,694,78,267,313,375,422,49,193,194,265,314,33,102,129,162,217
"totalt","Totalt"," Örebro län","Totalt",192,296,418,898,1149,143,211,292,552,671,99,148,184,382,477,69,94,137,276,357
"totalt","Totalt"," Örebro län","Heltid",69,35,37,209,185,52,30,32,163,148,35,17,18,100,102,27,14,14,63,78
"totalt","Totalt"," Örebro län","Deltid",123,261,381,689,964,102,193,268,447,560,67,138,169,319,403,44,84,125,227,291
"totalt","Totalt"," Västmanlands län","Totalt",264,357,624,1072,1239,222,277,427,638,765,152,194,265,441,529,103,131,186,311,378
"totalt","Totalt"," Västmanlands län","Heltid",95,37,63,244,216,83,37,54,184,172,55,26,37,124,119,36,22,31,79,86
"totalt","Totalt"," Västmanlands län","Deltid",169,320,561,828,1023,149,249,390,515,641,101,172,239,360,439,68,113,164,246,304
"totalt","Totalt"," Dalarnas län","Totalt",180,235,423,719,900,157,188,306,490,576,117,138,209,357,415,86,103,159,247,282
"totalt","Totalt"," Dalarnas län","Heltid",49,40,57,185,153,42,38,54,150,123,30,30,38,111,73,26,28,35,78,56
"totalt","Totalt"," Dalarnas län","Deltid",131,195,366,534,747,121,154,259,381,489,88,110,175,274,361,60,76,126,177,240
"totalt","Totalt"," Gävleborgs län","Totalt",210,289,463,740,923,156,225,304,466,562,107,153,195,310,385,67,101,132,201,285
"totalt","Totalt"," Gävleborgs län","Heltid",63,38,49,157,144,48,31,37,116,120,34,21,25,71,70,22,13,19,36,49
"totalt","Totalt"," Gävleborgs län","Deltid",147,251,414,583,779,117,201,273,394,486,76,137,174,263,338,46,89,116,167,247
"totalt","Totalt"," Västernorrlands län","Totalt",165,251,295,600,707,131,191,233,400,490,96,135,137,262,340,67,92,91,186,241
"totalt","Totalt"," Västernorrlands län","Heltid",28,38,41,140,141,24,29,36,113,125,14,19,19,72,75,13,17,14,42,59
"totalt","Totalt"," Västernorrlands län","Deltid",137,213,254,460,566,111,171,200,326,391,85,122,120,220,275,56,79,79,155,186
"totalt","Totalt"," Jämtlands län","Totalt",91,124,175,328,497,72,94,119,224,297,54,70,76,173,239,33,45,54,109,169
"totalt","Totalt"," Jämtlands län","Heltid",30,10,13,87,58,25,10,11,64,49,18,7,7,49,34,12,6,4,30,23
"totalt","Totalt"," Jämtlands län","Deltid",61,114,162,241,439,51,87,111,175,259,38,64,71,134,212,22,39,50,79,148
"totalt","Totalt"," Västerbottens län","Totalt",141,156,289,533,586,110,127,209,350,410,76,77,145,259,294,53,54,102,182,202
"totalt","Totalt"," Västerbottens län","Heltid",33,16,21,145,109,33,15,20,115,100,18,7,15,91,59,9,6,13,64,45
"totalt","Totalt"," Västerbottens län","Deltid",108,140,268,388,477,82,112,191,262,332,60,70,131,187,245,44,48,90,124,163
"totalt","Totalt"," Norrbottens län","Totalt",85,166,242,420,491,78,126,173,281,345,65,94,125,218,246,36,58,89,155,183
"totalt","Totalt"," Norrbottens län","Heltid",20,16,27,119,114,19,14,23,98,100,15,11,17,75,62,7,8,13,53,42
"totalt","Totalt"," Norrbottens län","Deltid",65,150,215,301,377,60,115,153,205,260,51,84,109,163,190,29,51,77,108,141
"totalt","Totalt","Uppgift saknas","Totalt",135,213,269,460,653,108,174,168,312,406,77,144,102,223,285,39,74,63,127,177
"totalt","Totalt","Uppgift saknas","Heltid",46,20,21,107,81,39,14,21,90,65,27,10,12,59,42,15,8,8,34,25
"totalt","Totalt","Uppgift saknas","Deltid",89,193,248,353,572,78,163,151,235,355,54,137,92,170,250,24,66,56,96,155
"totalt","Data/It","Samtliga län","Totalt",1938,3156,2192,5194,8888,1626,2519,1770,3878,5813,1127,1837,1035,2484,3628,687,1049,766,1931,2750
"totalt","Data/It","Samtliga län","Heltid",935,763,203,1256,795,842,601,194,1115,724,595,369,130,710,455,300,291,111,513,353
"totalt","Data/It","Samtliga län","Deltid",1003,2393,1989,3938,8093,883,2039,1614,3040,5375,593,1534,924,1900,3325,406,791,669,1483,2475
"totalt","Data/It"," Stockholms län","Totalt",865,1246,853,2029,3655,747,1018,695,1537,2379,505,747,408,975,1523,291,390,303,756,1136
"totalt","Data/It"," Stockholms län","Heltid",399,230,55,463,244,375,189,54,413,229,265,111,33,241,130,127,81,29,180,92
"totalt","Data/It"," Stockholms län","Deltid",466,1016,798,1566,3411,414,872,658,1232,2257,264,658,386,777,1446,170,318,281,601,1068
"totalt","Data/It"," Uppsala län","Totalt",55,92,77,177,299,47,78,61,136,214,32,51,41,84,123,23,29,28,72,95
"totalt","Data/It"," Uppsala län","Heltid",28,12,11,35,22,26,10,9,34,22,16,5,7,22,17,8,5,6,18,13
"totalt","Data/It"," Uppsala län","Deltid",27,80,66,142,277,26,70,54,111,201,20,48,35,65,111,16,25,23,55,84
"totalt","Data/It"," Södermanlands län","Totalt",27,56,48,95,189,23,45,40,58,111,15,28,19,34,65,9,17,13,25,52
"totalt","Data/It"," Södermanlands län","Heltid",19,17,6,21,15,16,14,5,18,13,12,10,3,13,8,7,6,3,7,7
"totalt","Data/It"," Södermanlands län","Deltid",8,39,42,74,174,8,33,35,47,104,4,20,16,24,59,3,13,10,19,46
"totalt","Data/It"," Östergötlands län","Totalt",48,129,78,147,261,42,97,63,100,183,27,60,35,56,108,20,34,29,44,83
"totalt","Data/It"," Östergötlands län","Heltid",13,34,5,35,21,11,26,5,30,21,6,9,4,15,9,4,8,3,12,7
"totalt","Data/It"," Östergötlands län","Deltid",35,95,73,112,240,33,78,58,82,167,22,53,31,46,100,17,26,26,35,76
"totalt","Data/It"," Jönköpings län","Totalt",27,51,30,76,167,23,39,27,63,113,12,28,15,38,69,9,20,13,27,56
"totalt","Data/It"," Jönköpings län","Heltid",15,13,5,20,7,14,11,5,19,6,8,6,5,12,4,6,5,4,7,4
"totalt","Data/It"," Jönköpings län","Deltid",12,38,25,56,160,11,32,22,49,109,6,25,10,28,67,4,17,9,20,54
"totalt","Data/It"," Kronobergs län","Totalt",15,25,19,41,95,9,18,17,34,57,5,15,8,19,32,3,8,5,16,28
"totalt","Data/It"," Kronobergs län","Heltid",8,8,3,9,9,4,5,0,8,8,0,5,0,5,4,0,3,0,5,4
"totalt","Data/It"," Kronobergs län","Deltid",7,17,18,32,86,6,14,16,28,51,4,10,7,14,30,3,6,4,11,26
"totalt","Data/It"," Kalmar län","Totalt",10,13,19,59,80,10,10,17,39,50,7,6,7,27,22,4,0,3,16,16
"totalt","Data/It"," Kalmar län","Heltid",7,0,3,12,5,7,3,3,9,4,4,0,0,7,3,3,0,0,3,3
"totalt","Data/It"," Kalmar län","Deltid",3,12,18,47,75,3,9,17,33,48,3,6,7,22,21,0,0,3,14,14
"totalt","Data/It"," Gotlands län","Totalt",6,19,5,11,15,5,10,4,10,13,3,8,3,9,10,3,7,3,8,6
"totalt","Data/It"," Gotlands län","Heltid",3,8,0,6,0,3,5,0,6,0,0,3,0,6,0,0,3,0,5,0
"totalt","Data/It"," Gotlands län","Deltid",4,11,5,5,15,4,8,4,5,13,3,7,3,3,10,0,5,0,3,6
"totalt","Data/It"," Blekinge län","Totalt",13,26,12,44,88,11,20,9,37,49,6,15,6,28,37,3,13,4,18,21
"totalt","Data/It"," Blekinge län","Heltid",5,13,0,7,5,4,11,0,6,5,3,8,0,3,3,0,8,0,3,3
"totalt","Data/It"," Blekinge län","Deltid",8,13,12,37,83,7,12,9,32,46,3,9,6,25,34,3,7,4,17,19
"totalt","Data/It"," Skåne län","Totalt",197,365,275,735,1134,157,292,220,568,720,114,214,135,387,453,69,130,99,321,353
"totalt","Data/It"," Skåne län","Heltid",108,94,31,207,161,94,75,29,189,143,66,51,18,143,110,36,42,17,112,97
"totalt","Data/It"," Skåne län","Deltid",89,271,244,528,973,74,226,196,410,620,55,168,117,262,371,35,90,82,221,276
"totalt","Data/It"," Hallands län","Totalt",50,49,29,98,177,39,39,27,65,122,30,31,16,46,81,17,18,11,35,68
"totalt","Data/It"," Hallands län","Heltid",27,14,3,18,22,22,10,3,16,20,19,6,3,10,16,8,6,0,6,14
"totalt","Data/It"," Hallands län","Deltid",23,35,27,80,155,18,31,25,54,106,12,27,14,40,67,10,13,9,31,55
"totalt","Data/It"," Västra Götalands län","Totalt",413,596,425,960,1453,330,462,330,688,964,249,334,198,406,584,156,219,149,326,456
"totalt","Data/It"," Västra Götalands län","Heltid",214,211,44,216,157,187,164,44,186,144,141,106,32,110,83,68,82,26,78,62
"totalt","Data/It"," Västra Götalands län","Deltid",199,385,381,744,1296,169,330,293,556,883,124,245,170,324,533,94,147,126,261,408
"totalt","Data/It"," Värmlands län","Totalt",17,111,29,80,92,17,77,20,63,69,11,63,9,54,53,10,29,8,37,39
"totalt","Data/It"," Värmlands län","Heltid",8,13,4,14,10,8,9,3,12,10,4,6,0,11,8,3,5,3,8,7
"totalt","Data/It"," Värmlands län","Deltid",9,98,25,66,82,9,71,19,56,63,7,58,8,47,48,7,24,7,32,33
"totalt","Data/It"," Örebro län","Totalt",33,56,52,124,257,26,44,38,81,130,17,31,25,50,79,14,20,18,39,59
"totalt","Data/It"," Örebro län","Heltid",19,16,3,31,24,15,13,3,27,16,12,8,3,15,12,9,7,3,11,9
"totalt","Data/It"," Örebro län","Deltid",14,40,49,93,233,13,34,36,63,123,5,26,24,38,74,5,15,17,31,54
"totalt","Data/It"," Västmanlands län","Totalt",35,31,64,91,191,32,30,56,68,121,17,17,28,48,68,11,8,19,36,47
"totalt","Data/It"," Västmanlands län","Heltid",16,4,8,24,19,14,4,8,19,17,8,0,6,14,9,3,0,5,11,3
"totalt","Data/It"," Västmanlands län","Deltid",19,27,56,67,172,19,26,48,54,110,10,16,22,38,64,8,7,14,26,46
"totalt","Data/It"," Dalarnas län","Totalt",11,41,25,68,100,11,31,23,50,66,4,23,11,32,44,3,18,9,25,33
"totalt","Data/It"," Dalarnas län","Heltid",6,12,7,16,8,6,10,7,13,7,3,6,6,10,5,3,6,5,6,4
"totalt","Data/It"," Dalarnas län","Deltid",5,29,18,52,92,5,22,17,43,61,3,18,6,25,40,0,12,5,19,30
"totalt","Data/It"," Gävleborgs län","Totalt",24,45,41,85,154,19,32,29,59,90,13,19,15,38,54,6,10,11,26,44
"totalt","Data/It"," Gävleborgs län","Heltid",7,13,6,22,18,7,10,5,18,16,5,6,3,12,11,0,5,3,6,10
"totalt","Data/It"," Gävleborgs län","Deltid",17,32,35,63,136,13,24,26,44,84,9,14,13,27,47,4,6,10,20,37
"totalt","Data/It"," Västernorrlands län","Totalt",21,46,31,69,113,15,34,26,52,82,12,27,16,39,54,11,19,13,30,39
"totalt","Data/It"," Västernorrlands län","Heltid",6,21,7,24,11,4,12,7,21,11,3,9,5,15,4,3,9,3,9,4
"totalt","Data/It"," Västernorrlands län","Deltid",15,25,24,45,102,12,24,20,36,74,11,19,11,27,50,9,11,10,22,35
"totalt","Data/It"," Jämtlands län","Totalt",7,9,7,15,70,4,9,6,14,52,3,5,3,14,41,3,3,0,8,35
"totalt","Data/It"," Jämtlands län","Heltid",3,3,3,5,3,3,0,0,5,3,0,0,0,5,3,0,0,0,3,0
"totalt","Data/It"," Jämtlands län","Deltid",4,8,6,10,67,0,8,5,10,50,3,5,3,9,39,3,3,0,5,34
"totalt","Data/It"," Västerbottens län","Totalt",19,34,25,58,79,17,31,21,49,60,12,21,13,35,28,10,13,11,26,19
"totalt","Data/It"," Västerbottens län","Heltid",10,10,3,18,6,10,9,3,17,6,7,5,3,10,0,5,4,3,8,0
"totalt","Data/It"," Västerbottens län","Deltid",9,24,22,40,73,8,22,18,35,55,5,16,11,25,27,5,9,9,18,19
"totalt","Data/It"," Norrbottens län","Totalt",11,24,14,29,51,11,21,13,24,38,11,19,9,16,24,5,9,8,16,18
"totalt","Data/It"," Norrbottens län","Heltid",4,5,0,9,0,4,4,3,8,0,4,3,0,7,0,0,3,0,7,3
"totalt","Data/It"," Norrbottens län","Deltid",7,19,13,20,50,7,18,12,16,38,7,16,9,9,24,4,8,8,9,17
"totalt","Data/It","Uppgift saknas","Totalt",34,92,34,103,168,31,82,28,83,130,23,75,15,49,76,10,33,10,24,47
"totalt","Data/It","Uppgift saknas","Heltid",11,13,3,44,27,10,8,3,41,23,7,6,0,24,15,3,6,0,11,10
"totalt","Data/It","Uppgift saknas","Deltid",23,79,32,59,141,22,75,26,44,112,17,70,15,25,63,7,27,10,13,38
"totalt","Ekonomi, administration och försäljning","Samtliga län","Totalt",4964,5741,8519,12938,14327,3802,3949,5680,8184,8894,2590,2756,3904,5893,6842,1400,1638,2480,3883,4592
"totalt","Ekonomi, administration och försäljning","Samtliga län","Heltid",1328,320,208,1264,566,1168,300,205,1063,557,623,236,133,642,317,300,98,92,396,215
"totalt","Ekonomi, administration och försäljning","Samtliga län","Deltid",3636,5421,8311,11674,13761,2896,3856,5520,7442,8484,2102,2685,3795,5401,6604,1115,1585,2397,3538,4404
"totalt","Ekonomi, administration och försäljning"," Stockholms län","Totalt",2118,2332,3059,5092,5417,1564,1557,2042,3163,3287,1093,1113,1428,2285,2589,590,645,861,1503,1749
"totalt","Ekonomi, administration och försäljning"," Stockholms län","Heltid",492,155,41,485,169,427,143,41,393,167,215,122,30,228,97,90,43,17,133,65
"totalt","Ekonomi, administration och försäljning"," Stockholms län","Deltid",1626,2177,3018,4607,5248,1241,1520,2012,2903,3163,935,1083,1405,2113,2515,506,626,847,1387,1691
"totalt","Ekonomi, administration och försäljning"," Uppsala län","Totalt",107,191,280,411,381,91,140,202,272,268,53,102,139,186,199,30,68,104,126,146
"totalt","Ekonomi, administration och försäljning"," Uppsala län","Heltid",26,6,5,41,28,25,6,5,31,28,7,4,3,11,18,5,3,3,6,16
"totalt","Ekonomi, administration och försäljning"," Uppsala län","Deltid",81,185,275,370,353,69,137,198,252,245,48,100,137,181,186,25,65,103,123,132
"totalt","Ekonomi, administration och försäljning"," Södermanlands län","Totalt",94,81,155,216,273,73,64,109,161,191,45,44,72,102,133,28,31,41,69,79
"totalt","Ekonomi, administration och försäljning"," Södermanlands län","Heltid",18,3,4,24,12,16,3,4,21,12,11,0,0,11,5,8,0,0,9,3
"totalt","Ekonomi, administration och försäljning"," Södermanlands län","Deltid",76,78,151,192,261,60,62,107,146,181,35,43,72,93,130,21,30,41,61,76
"totalt","Ekonomi, administration och försäljning"," Östergötlands län","Totalt",88,117,217,365,474,74,95,172,268,331,51,58,114,192,251,28,38,79,130,161
"totalt","Ekonomi, administration och försäljning"," Östergötlands län","Heltid",24,6,6,40,26,24,6,6,32,26,15,4,3,21,17,8,0,0,13,12
"totalt","Ekonomi, administration och försäljning"," Östergötlands län","Deltid",64,111,211,325,448,57,91,166,244,313,39,56,111,174,235,20,37,77,118,150
"totalt","Ekonomi, administration och försäljning"," Jönköpings län","Totalt",75,103,182,288,333,63,68,126,180,229,39,41,86,127,176,25,20,59,95,113
"totalt","Ekonomi, administration och försäljning"," Jönköpings län","Heltid",23,3,6,43,19,21,3,6,42,19,11,3,5,30,9,6,0,3,24,9
"totalt","Ekonomi, administration och försäljning"," Jönköpings län","Deltid",52,100,176,245,314,44,65,122,145,216,29,39,83,100,169,19,20,57,71,105
"totalt","Ekonomi, administration och försäljning"," Kronobergs län","Totalt",51,47,92,138,164,38,41,59,93,118,27,31,37,77,91,15,19,27,46,57
"totalt","Ekonomi, administration och försäljning"," Kronobergs län","Heltid",17,3,0,8,8,14,3,0,8,8,11,0,0,5,5,7,0,0,3,0
"totalt","Ekonomi, administration och försäljning"," Kronobergs län","Deltid",34,46,91,130,156,26,40,58,87,114,17,30,36,73,88,9,18,26,44,56
"totalt","Ekonomi, administration och försäljning"," Kalmar län","Totalt",30,37,74,159,157,30,30,53,95,99,19,22,36,71,78,8,14,18,47,51
"totalt","Ekonomi, administration och försäljning"," Kalmar län","Heltid",12,0,3,8,6,12,0,3,8,6,6,0,0,3,4,4,0,3,3,3
"totalt","Ekonomi, administration och försäljning"," Kalmar län","Deltid",18,36,71,151,151,18,29,50,91,94,13,21,35,70,75,4,13,17,44,48
"totalt","Ekonomi, administration och försäljning"," Gotlands län","Totalt",11,10,29,43,48,10,9,21,29,35,9,7,15,17,31,4,4,10,11,20
"totalt","Ekonomi, administration och försäljning"," Gotlands län","Heltid",0,0,3,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0
"totalt","Ekonomi, administration och försäljning"," Gotlands län","Deltid",11,10,26,39,47,10,9,19,26,34,9,7,14,15,30,4,4,10,9,20
"totalt","Ekonomi, administration och försäljning"," Blekinge län","Totalt",29,44,58,65,108,23,35,44,51,74,15,21,26,31,55,9,10,17,15,38
"totalt","Ekonomi, administration och försäljning"," Blekinge län","Heltid",6,5,5,6,0,5,5,5,6,3,4,4,3,3,0,3,3,3,3,0
"totalt","Ekonomi, administration och försäljning"," Blekinge län","Deltid",23,39,53,59,106,19,32,40,45,72,12,18,24,28,54,6,8,15,14,37
"totalt","Ekonomi, administration och försäljning"," Skåne län","Totalt",639,724,1279,1750,1859,509,492,816,1095,1134,345,356,563,809,859,197,213,373,506,578
"totalt","Ekonomi, administration och försäljning"," Skåne län","Heltid",243,42,31,168,78,213,40,31,144,76,132,30,25,94,43,87,14,20,56,30
"totalt","Ekonomi, administration och försäljning"," Skåne län","Deltid",396,682,1248,1582,1781,335,482,790,994,1077,235,347,541,736,824,112,204,354,458,553
"totalt","Ekonomi, administration och försäljning"," Hallands län","Totalt",142,188,296,417,414,110,136,190,258,252,74,92,130,196,204,33,52,85,132,143
"totalt","Ekonomi, administration och försäljning"," Hallands län","Heltid",45,7,6,32,17,42,7,6,30,16,23,4,4,20,10,12,0,0,14,7
"totalt","Ekonomi, administration och försäljning"," Hallands län","Deltid",97,181,290,385,397,75,132,184,237,238,56,89,126,179,196,23,52,83,119,137
"totalt","Ekonomi, administration och försäljning"," Västra Götalands län","Totalt",1034,1218,1738,2415,2828,781,798,1129,1447,1664,519,541,766,1081,1272,269,326,474,713,859
"totalt","Ekonomi, administration och försäljning"," Västra Götalands län","Heltid",300,56,37,228,96,266,51,36,198,94,133,40,20,126,50,41,18,17,71,31
"totalt","Ekonomi, administration och försäljning"," Västra Götalands län","Deltid",734,1162,1701,2187,2732,591,790,1102,1317,1605,421,536,750,993,1244,230,320,459,653,834
"totalt","Ekonomi, administration och försäljning"," Värmlands län","Totalt",46,47,103,126,185,41,41,69,93,109,17,25,46,51,76,10,11,33,36,48
"totalt","Ekonomi, administration och försäljning"," Värmlands län","Heltid",15,0,5,10,12,13,0,4,9,12,3,0,0,3,6,3,0,0,3,4
"totalt","Ekonomi, administration och försäljning"," Värmlands län","Deltid",31,47,98,116,173,29,41,66,84,103,14,25,45,48,72,7,11,32,34,45
"totalt","Ekonomi, administration och försäljning"," Örebro län","Totalt",56,72,106,197,254,39,49,79,130,150,24,34,49,85,108,12,21,35,55,69
"totalt","Ekonomi, administration och försäljning"," Örebro län","Heltid",22,4,5,19,11,16,3,5,16,11,8,0,3,9,5,4,0,3,5,4
"totalt","Ekonomi, administration och försäljning"," Örebro län","Deltid",34,68,101,178,243,28,49,77,121,140,18,34,48,78,104,9,21,34,51,65
"totalt","Ekonomi, administration och försäljning"," Västmanlands län","Totalt",80,104,185,293,278,69,69,118,168,177,46,50,78,119,131,22,27,53,91,91
"totalt","Ekonomi, administration och försäljning"," Västmanlands län","Heltid",26,8,12,38,12,25,8,11,24,12,13,6,9,15,9,4,6,6,9,5
"totalt","Ekonomi, administration och försäljning"," Västmanlands län","Deltid",54,96,173,255,266,46,65,109,152,167,34,47,71,110,123,18,24,47,85,86
"totalt","Ekonomi, administration och försäljning"," Dalarnas län","Totalt",45,70,112,161,195,39,56,75,126,130,29,42,56,92,99,14,30,46,63,69
"totalt","Ekonomi, administration och försäljning"," Dalarnas län","Heltid",14,5,9,31,17,11,5,9,30,15,7,5,6,25,11,4,5,6,23,9
"totalt","Ekonomi, administration och försäljning"," Dalarnas län","Deltid",31,65,103,130,178,29,52,69,99,118,22,37,50,69,89,10,25,40,42,61
"totalt","Ekonomi, administration och försäljning"," Gävleborgs län","Totalt",69,83,123,183,174,52,68,91,126,109,38,45,63,76,75,21,28,45,53,53
"totalt","Ekonomi, administration och försäljning"," Gävleborgs län","Heltid",7,6,9,14,14,4,6,9,14,14,3,5,5,5,6,3,0,4,0,5
"totalt","Ekonomi, administration och försäljning"," Gävleborgs län","Deltid",62,77,114,169,160,49,65,82,114,98,36,43,58,71,70,20,27,41,51,49
"totalt","Ekonomi, administration och försäljning"," Västernorrlands län","Totalt",56,56,73,132,142,43,44,63,98,111,35,28,38,63,83,20,17,21,44,58
"totalt","Ekonomi, administration och försäljning"," Västernorrlands län","Heltid",3,4,7,13,5,3,4,7,13,5,0,3,4,6,3,0,0,0,3,0
"totalt","Ekonomi, administration och försäljning"," Västernorrlands län","Deltid",53,52,66,119,137,41,42,56,85,106,35,28,34,57,81,20,17,20,42,57
"totalt","Ekonomi, administration och försäljning"," Jämtlands län","Totalt",40,51,68,81,149,32,36,44,57,88,24,23,31,44,77,12,16,23,28,47
