Kön,Utbildningsområde,År,Antal ansökningar
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,"Hotell, restaurang och turism",2020,807
kvinnor,"Hotell, restaurang och turism",2020,351
kvinnor,"Hotell, restaurang och turism",2020,456
kvinnor,"Hotell, restaurang och turism",2020,365
kvinnor,"Hotell, restaurang och turism",2020,162
kvinnor,"Hotell, restaurang och turism",2020,203
kvinnor,"Hotell, restaurang och turism",2020,17
kvinnor,"Hotell, restaurang och turism",2020,5
kvinnor,"Hotell, restaurang och turism",2020,12
kvinnor,"Hotell, restaurang och turism",2020,12
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,11
kvinnor,"Hotell, restaurang och turism",2020,11
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,8
kvinnor,"Hotell, restaurang och turism",2020,12
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,11
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,0
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,0
kvinnor,"Hotell, restaurang och turism",2020,0
kvinnor,"Hotell, restaurang och turism",2020,4
kvinnor,"Hotell, restaurang och turism",2020,0
kvinnor,"Hotell, restaurang och turism",2020,4
kvinnor,"Hotell, restaurang och turism",2020,5
kvinnor,"Hotell, restaurang och turism",2020,0
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,83
kvinnor,"Hotell, restaurang och turism",2020,41
kvinnor,"Hotell, restaurang och turism",2020,42
kvinnor,"Hotell, restaurang och turism",2020,22
kvinnor,"Hotell, restaurang och turism",2020,13
kvinnor,"Hotell, restaurang och turism",2020,9
kvinnor,"Hotell, restaurang och turism",2020,187
kvinnor,"Hotell, restaurang och turism",2020,102
kvinnor,"Hotell, restaurang och turism",2020,85
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,0
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,7
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,4
kvinnor,"Hotell, restaurang och turism",2020,8
kvinnor,"Hotell, restaurang och turism",2020,0
kvinnor,"Hotell, restaurang och turism",2020,7
kvinnor,"Hotell, restaurang och turism",2020,15
kvinnor,"Hotell, restaurang och turism",2020,0
kvinnor,"Hotell, restaurang och turism",2020,15
kvinnor,"Hotell, restaurang och turism",2020,9
kvinnor,"Hotell, restaurang och turism",2020,4
kvinnor,"Hotell, restaurang och turism",2020,5
kvinnor,"Hotell, restaurang och turism",2020,6
kvinnor,"Hotell, restaurang och turism",2020,0
kvinnor,"Hotell, restaurang och turism",2020,5
kvinnor,"Hotell, restaurang och turism",2020,12
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,9
kvinnor,"Hotell, restaurang och turism",2020,8
kvinnor,"Hotell, restaurang och turism",2020,0
kvinnor,"Hotell, restaurang och turism",2020,8
kvinnor,"Hotell, restaurang och turism",2020,10
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,"Hotell, restaurang och turism",2020,7
kvinnor,"Hotell, restaurang och turism",2020,7
kvinnor,"Hotell, restaurang och turism",2020,4
kvinnor,"Hotell, restaurang och turism",2020,3
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,1407
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,30
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,1377
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,264
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,5
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,259
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,52
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,51
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,98
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,97
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,98
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,98
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,40
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,40
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,19
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,19
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,48
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,48
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,6
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,6
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,26
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,26
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,235
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,6
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,229
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,26
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,25
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,238
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,13
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,225
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,32
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,32
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,43
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,42
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,41
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,41
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,36
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,36
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,24
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,24
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,44
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,44
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,10
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,10
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,12
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,11
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,9
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,8
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,6
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,0
kvinnor,Hälso- och sjukvård samt socialt arbete,2020,6
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Journalistik och information,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,Juridik,2020,0
kvinnor,"Kultur, media och design",2020,109
kvinnor,"Kultur, media och design",2020,10
kvinnor,"Kultur, media och design",2020,99
kvinnor,"Kultur, media och design",2020,27
kvinnor,"Kultur, media och design",2020,6
kvinnor,"Kultur, media och design",2020,21
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,62
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,61
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,5
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,5
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,3
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Kultur, media och design",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,40
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,40
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,5
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,5
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,3
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,3
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,9
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,9
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,5
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,5
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,16
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,16
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,3
kvinnor,"Lantbruk, djurvård, trädgård, skog och fiske",2020,0
